Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1606.733420511274
FDW14,OUT017,1403.4698807448426
NCN55,OUT010,1174.2434972955589
FDQ58,OUT017,2330.7093978372895
FDY38,OUT027,5405.048917477293
FDH56,OUT046,1761.7066464588208
FDL48,OUT018,740.7181159473258
FDC48,OUT027,2315.0518554470705
FDN33,OUT045,1485.8433689139729
FDA36,OUT017,2844.211362781671
FDT44,OUT017,1741.9623993990685
FDQ56,OUT045,1314.860195941248
NCC54,OUT019,1104.7171084684294
FDU11,OUT049,1794.9007752178252
DRL59,OUT013,906.7182816737793
FDM24,OUT049,2272.435722037291
FDI57,OUT045,3002.6694437771935
DRC12,OUT018,2537.159582369057
NCM42,OUT027,2799.0432245133843
FDA46,OUT010,686.781102160472
FDA31,OUT013,2522.3520094154355
NCJ31,OUT035,3760.673001699186
FDG52,OUT046,899.3456416001885
NCL19,OUT019,308.363420375826
FDS10,OUT035,2706.906651215055
FDX22,OUT010,890.3159900360508
NCF19,OUT035,916.5617480111662
NCE06,OUT046,2379.007497803109
DRC27,OUT046,3876.0616734218206
FDE21,OUT035,1726.9173917996945
NCR42,OUT019,0.3896115425132931
FDX51,OUT018,2649.293100066088
NCR06,OUT018,672.2348487763312
FDU31,OUT027,5052.7365716899985
FDU59,OUT017,2441.835701890102
FDR03,OUT027,4778.410016764504
FDS49,OUT027,2293.5591307086443
FDD48,OUT010,178.53064257889724
NCF18,OUT017,2903.0057961110424
NCD43,OUT027,2694.142056330061
NCD54,OUT018,1784.1057971607743
FDY19,OUT010,186.41357365871454
NCY54,OUT017,2588.522497480962
NCL19,OUT018,1820.2835352704153
FDP23,OUT010,920.6021413864978
FDC26,OUT013,1582.0220880888821
FDR14,OUT010,10.670294737025355
NCS41,OUT035,2750.340712611024
FDF41,OUT035,3949.5545571062303
FDU34,OUT046,1818.8987812684466
DRH11,OUT046,1003.8280888170214
FDM03,OUT013,1517.063812977975
FDS31,OUT017,2781.2850506568893
FDJ20,OUT017,1833.8391722322003
FDV44,OUT027,4394.175252409085
FDG02,OUT049,2855.6258294269787
FDA09,OUT013,2679.0317544161253
FDT04,OUT013,762.7210549105081
FDL58,OUT019,1420.3147186538395
FDE52,OUT045,1415.899921887935
FDW12,OUT035,2177.395805693298
FDL51,OUT017,3375.996179172669
NCY42,OUT027,3378.600224037489
FDR07,OUT017,1457.2043003527638
FDN40,OUT045,2240.6802712569543
FDB35,OUT027,2525.547415635901
FDA22,OUT017,2490.151849316917
NCL06,OUT046,4253.536112470833
FDI35,OUT013,2644.8788204701596
NCW42,OUT045,3424.16614297197
NCX06,OUT049,2693.3816130417717
FDC37,OUT027,2758.2321109646623
FDZ14,OUT018,1556.4934776717348
DRG49,OUT049,3934.9691247542296
NCG06,OUT045,4134.4550439533605
DRC36,OUT045,2641.5125868400096
FDV21,OUT019,198.1796343691311
FDB53,OUT046,2147.750489445376
DRP47,OUT019,1227.1345798353948
FDA14,OUT013,2045.5479275728562
DRC24,OUT035,2256.74322700737
FDW21,OUT018,1310.039679844314
NCH29,OUT046,1475.914525936661
FDU58,OUT013,2841.363547326253
FDY27,OUT017,2683.987933719116
FDV56,OUT035,1662.8239351583884
FDT59,OUT046,3600.434574592415
FDB23,OUT046,3579.6911543648157
FDR49,OUT045,880.1459781395737
FDB03,OUT010,1174.3995909803164
FDN39,OUT045,2501.1937243692905
FDX02,OUT027,5090.334482584362
FDQ16,OUT027,2758.169008172091
FDU35,OUT018,1231.0183371402604
NCT29,OUT013,1730.1664247738163
FDZ27,OUT046,916.6297526061052
FDN57,OUT017,2075.612825945192
FDA03,OUT018,1852.6610279259507
FDZ36,OUT045,2832.532861123331
NCU05,OUT013,1218.7345981670592
FDT39,OUT018,1970.4979811972826
FDK60,OUT017,1498.234591091875
FDZ25,OUT017,2575.5470859877664
FDG12,OUT046,1839.8711727056998
DRB01,OUT019,646.6812534937367
NCC43,OUT027,5751.049260279845
FDX13,OUT019,1206.2219222457597
FDM22,OUT049,1002.8505950445833
FDJ03,OUT027,1871.661248953668
FDU14,OUT018,3567.7194876010067
FDB33,OUT010,430.5940560808877
FDP27,OUT046,2858.9343917671213
FDO38,OUT010,48.680390864559875
FDE28,OUT027,5353.220081742558
FDO27,OUT035,1475.3347818799136
DRL23,OUT027,2757.151162232829
FDS28,OUT046,1018.6557634071112
FDX24,OUT013,1356.038151870657
FDZ02,OUT035,1506.2057349446986
FDL46,OUT045,1713.510111364879
FDS60,OUT027,4106.717663043221
NCO06,OUT017,769.7506971575951
FDO16,OUT035,1330.7055754994242
FDC60,OUT049,1373.6789590040648
FDA48,OUT018,2986.3291399070463
FDZ36,OUT027,4346.630085552286
FDK27,OUT045,1785.9815376097895
FDW23,OUT018,631.8924490893693
FDM14,OUT018,1360.0735244720227
FDM14,OUT013,1547.1129387747326
FDW60,OUT018,2361.6109546808407
FDE21,OUT013,1658.7420156198082
NCM42,OUT035,1644.9238177078814
FDY59,OUT010,102.26928304806975
DRI49,OUT049,1256.6079450282234
FDT28,OUT019,351.62465017339093
FDQ22,OUT018,644.4405428501921
FDR60,OUT049,1194.247391185627
FDC50,OUT019,83.26652348485888
FDV24,OUT013,2149.935462806095
DRF48,OUT010,676.2647492829863
FDQ47,OUT046,811.2196685638833
DRN36,OUT049,1473.8069117442562
NCY06,OUT035,1886.5641584650805
FDE52,OUT035,1416.8359669985196
NCB54,OUT045,1865.892749509833
NCF31,OUT035,2257.9150994435754
FDJ08,OUT027,4326.653350693106
NCC07,OUT017,1593.3387794060498
NCD19,OUT027,1916.6137880902334
FDL46,OUT049,1757.9135737064462
FDM20,OUT045,3932.5843604691468
NCI06,OUT010,590.9025462236735
DRM11,OUT035,4223.556503530714
NCH07,OUT018,1999.347157778866
FDS23,OUT013,1819.5294928928024
FDO49,OUT018,750.1678024515074
FDS35,OUT049,1081.2462876493846
DRK39,OUT045,1287.9870293367178
DRI39,OUT049,1006.7958604872294
FDV04,OUT017,2380.923811676196
NCN14,OUT035,2720.0831937995385
FDH08,OUT013,3556.5641242584707
FDS20,OUT046,2735.5226485494168
FDV40,OUT049,1202.94667332306
FDZ48,OUT010,155.02626003602558
FDS24,OUT027,2457.5113338795286
FDK44,OUT049,2566.7977644717384
FDS48,OUT045,2200.747495918611
FDK26,OUT010,673.9811709317775
FDD23,OUT045,2906.740828175677
NCH54,OUT017,2400.6955585059636
NCP14,OUT010,143.8634658698722
FDM60,OUT010,2.44429630685889
FDV24,OUT017,2233.683481151297
FDH08,OUT018,3191.628946533136
FDS12,OUT027,3064.003560030613
FDR39,OUT027,4149.964215368577
FDP12,OUT027,1701.4193884795595
DRF60,OUT027,5436.8086760522165
FDC09,OUT035,1579.11832898948
FDF50,OUT018,2631.154192489738
FDG28,OUT035,3959.6235788448685
NCE19,OUT017,1003.044212414492
NCM53,OUT010,150.8820207425452
NCN18,OUT049,1663.5669662642135
FDF32,OUT035,3014.425950306299
FDF11,OUT013,3795.861998605403
DRI59,OUT049,3523.6115985098886
NCG54,OUT035,2515.724877600012
FDM44,OUT046,1513.8589897707348
FDT57,OUT018,3325.3550443165764
FDV24,OUT046,2202.4012993182905
FDI50,OUT019,1018.2896371869263
FDS09,OUT035,986.6429502827489
NCC31,OUT027,3634.300424688758
FDQ07,OUT019,915.5330390124033
FDC22,OUT017,2973.4581724634295
FDZ56,OUT046,2497.8161189648195
FDZ40,OUT019,8.432934287166685
FDS46,OUT027,3010.8617877449983
DRD24,OUT045,2068.59681126761
FDV45,OUT017,2872.886067026039
FDL26,OUT045,2265.1170895403925
FDA56,OUT018,1532.8603307759288
FDN27,OUT046,1724.9008703571328
FDM20,OUT049,3916.7067783084067
FDO16,OUT017,1321.289858098034
FDL03,OUT035,3018.9184941405256
FDE58,OUT046,1714.621520305327
FDI02,OUT027,2865.7971096229926
NCC55,OUT019,0.14332935962633203
FDR03,OUT018,2825.480521261318
FDB14,OUT017,1436.784457978272
FDR45,OUT013,3753.6587510948343
NCN07,OUT017,1924.5054669178485
FDM51,OUT019,131.51699544955514
FDT52,OUT027,5697.610087897351
FDL26,OUT046,2237.9623775280143
NCZ42,OUT046,3792.56770813298
DRI47,OUT019,325.8015118072685
FDW40,OUT013,2028.8940665991468
FDN34,OUT046,2566.5484856031735
FDS01,OUT035,2670.111294696087
NCG55,OUT045,1708.1543846617024
FDC11,OUT035,1330.654885807875
FDX35,OUT018,3183.4236126177166
NCB06,OUT046,2340.148348379968
FDR09,OUT019,1340.362568139342
FDC53,OUT017,1490.8824845267497
FDY45,OUT013,4038.176474306509
FDA22,OUT010,500.73235031086097
FDE02,OUT035,1433.3114471605084
FDW21,OUT045,1575.6315200629688
FDV34,OUT046,1229.721082875415
FDS59,OUT049,1651.315420221622
NCW17,OUT017,1893.7193351625249
NCK54,OUT046,1727.3385520415945
FDG17,OUT019,1198.392887052055
FDG35,OUT017,2655.242065654278
FDD08,OUT010,1.0063161727709091
NCO07,OUT017,3296.8003797493016
FDJ10,OUT010,339.10522525167823
FDW36,OUT017,1562.1139892298816
FDW21,OUT010,148.65922791034305
FDY19,OUT017,1745.3670784530932
DRE03,OUT013,851.6357644499715
NCC55,OUT049,821.7615195486865
FDH52,OUT010,32.03267465177808
FDO09,OUT017,4402.521346464429
FDU43,OUT045,3828.0989788798465
FDX09,OUT010,550.3761527843205
FDH40,OUT019,64.45696772449722
FDW58,OUT017,1578.7502092038594
FDC47,OUT017,3563.497525852489
NCR41,OUT035,1434.1532704975045
DRG49,OUT035,3929.8382920177996
FDC52,OUT027,3643.956704453932
FDY13,OUT046,1188.3149381259473
FDY35,OUT013,853.0606336028811
FDI35,OUT017,2754.9598456548424
NCU18,OUT049,2071.714645275318
FDY33,OUT018,2048.699293462495
FDC15,OUT027,3635.4898491579634
FDU01,OUT049,2845.09293847223
NCU42,OUT046,2522.6743789964335
NCV29,OUT018,2308.578619792545
NCY30,OUT017,2754.4269016143785
FDQ46,OUT049,1666.218519448129
FDG58,OUT027,3669.535935349506
FDK33,OUT017,3318.983687612684
NCD07,OUT045,1709.3007720642245
NCX29,OUT027,3413.8318166122435
NCT42,OUT013,2129.0050167181034
DRN59,OUT035,890.9832142996763
FDI44,OUT035,1235.3673465358968
FDA45,OUT049,2625.0503634771894
FDP31,OUT045,1096.1458710708466
FDY01,OUT046,1705.1131272133664
FDT09,OUT018,1701.6854405058748
DRH03,OUT027,2546.30812770561
FDA36,OUT018,2455.6965034496457
NCF31,OUT017,2286.1527091302055
FDG14,OUT049,2273.262448161743
FDG28,OUT027,5711.766165816233
FDU14,OUT049,4000.0284706023645
FDY47,OUT019,254.70482990980142
FDI56,OUT049,1381.5779813662184
DRD01,OUT013,989.8098372760321
FDM22,OUT046,1021.2608741983435
FDH33,OUT013,808.7328685981272
DRZ24,OUT013,1693.3503225509141
NCQ38,OUT046,1566.9313401059223
FDO16,OUT027,2370.7386188105047
FDU07,OUT027,3511.7007636256217
NCB07,OUT013,2840.9813205405576
FDU48,OUT045,1908.9689731351352
NCM43,OUT045,2446.4750933650407
FDR31,OUT010,359.2410725709007
DRK49,OUT018,660.0577643399628
NCI30,OUT010,1197.842608375128
DRD60,OUT017,2740.2907028573522
NCG19,OUT046,3655.1248643353597
FDH12,OUT035,1558.5706903516905
FDM32,OUT035,1393.4440440201372
FDM27,OUT035,2331.3074631346976
NCU53,OUT027,3862.866249750712
NCQ18,OUT046,1464.3290523432001
FDS10,OUT013,2596.2730555969706
FDB33,OUT027,3686.1999009942992
FDI12,OUT013,1296.3984921521503
NCW42,OUT013,3338.8075871920237
NCC06,OUT018,1589.6930665877753
FDW02,OUT017,1923.086262209991
NCD43,OUT017,1589.0717960415623
FDM57,OUT018,1088.8584873444483
FDA58,OUT017,3773.0932500524164
FDK56,OUT046,2750.857748456438
FDP52,OUT045,3679.740623727064
FDW20,OUT018,1523.1850922118347
FDS52,OUT049,1519.205723420579
NCT29,OUT018,1478.5766714295487
NCL54,OUT013,2549.220971049788
FDC05,OUT045,3039.76730768773
FDF34,OUT035,3072.36223927282
FDP03,OUT027,3111.3055486731996
FDD32,OUT010,76.23483613397875
FDZ10,OUT045,1875.8427505899713
FDZ40,OUT035,982.7064293117348
FDD51,OUT018,666.1990111748402
NCY30,OUT019,556.9962827840774
FDP58,OUT017,3388.0812642067012
FDV49,OUT017,4347.498441010536
FDY24,OUT019,7.141457686438083
NCO55,OUT017,1608.1368716093311
FDR13,OUT017,1784.466050467115
FDS51,OUT017,1077.1012110157048
FDP26,OUT045,1543.4501049964308
NCB54,OUT027,3140.306190310834
FDF32,OUT017,2996.572337662401
FDN31,OUT018,2477.7061200560615
DRM48,OUT017,806.322937588044
FDN20,OUT049,2497.4494205801375
DRL01,OUT046,3730.951876887588
FDV56,OUT049,1636.881928710592
DRH13,OUT027,2778.5284604079493
FDA03,OUT017,2188.9095614194443
FDF47,OUT027,5117.531874048202
FDX32,OUT046,2169.6260820595253
FDX57,OUT049,1498.1516329153878
NCA30,OUT045,2833.7877367031597
FDO49,OUT013,911.2981627432071
FDL04,OUT019,120.66787725010062
DRM48,OUT035,808.1640611954757
FDR16,OUT013,3234.026408421916
NCC19,OUT018,2544.8527231887815
NCE42,OUT045,3702.2244094360994
FDY24,OUT017,1018.8567460487213
FDH19,OUT049,2608.893260302774
FDJ46,OUT013,2515.843469500223
FDN45,OUT010,970.2263061708137
FDY08,OUT035,2079.910899537106
FDZ37,OUT035,1385.0538153228651
NCT30,OUT045,905.605844258098
DRY23,OUT018,688.8795555792303
NCZ30,OUT018,1520.546867675964
FDC44,OUT018,1370.5806812030066
FDB45,OUT035,1555.6236244746385
FDY04,OUT013,2375.08344941022
FDM27,OUT046,2399.724188853311
FDZ43,OUT017,3920.7891124695393
FDT39,OUT019,379.4841349331755
NCC06,OUT019,223.02776946752488
FDL15,OUT027,3609.4251478727933
FDL57,OUT017,4262.973102260246
FDU08,OUT046,1483.9017776517805
FDK40,OUT017,4356.299024016894
FDQ12,OUT010,1033.6429978930685
FDS48,OUT017,2231.0021100529875
FDP09,OUT045,3254.401739403276
FDW21,OUT049,1557.8137787217388
FDY25,OUT035,2711.441047983199
DRE13,OUT017,1361.165438298362
FDV43,OUT019,0.8101575295032322
FDD22,OUT045,1651.8474135017962
FDM46,OUT019,78.44425515367895
NCO30,OUT010,625.4905380193775
FDM25,OUT046,2618.667494661599
NCN41,OUT049,1799.9095347536
FDU24,OUT045,1434.7142747325693
FDZ50,OUT046,2782.9802999488884
